source,estimated_usage_bins,city,zone,zone_demand_popularity,dayType,pickUpHourOfDay,sla,booking_type,DU_Bad_Count,DU_good_cnt,total_cnt
ios,LTE_1_HOUR,Bangalore,219,POPULARITY_INDEX_1,WEEKEND,VERYLATE,Scheduled,one_way_trip,43,71,114
android,LTE_1_HOUR,Bangalore,219,POPULARITY_INDEX_1,WEEKEND,VERYLATE,Scheduled,one_way_trip,19,50,69
android,LTE_1_HOUR,Hyderabad,141,POPULARITY_INDEX_1,WEEKEND,LATENIGHT,Scheduled,one_way_trip,9,13,22
android,LTE_1_HOUR,Bangalore,220,POPULARITY_INDEX_2,NORMAL_WEEKDAY,MORNING,Scheduled,one_way_trip,8,10,18
android,LTE_1_HOUR,Bangalore,221,POPULARITY_INDEX_2,NORMAL_WEEKDAY,EARLY,Scheduled,one_way_trip,7,4,11
ios,LTE_1_HOUR,Mumbai,443,POPULARITY_INDEX_1,WEEKEND,VERYLATE,Scheduled,one_way_trip,7,12,19
android,LTE_1_HOUR,Mumbai,399,POPULARITY_INDEX_4,WEEKEND,VERYLATE,Scheduled,one_way_trip,6,0,6
ios,LTE_1_HOUR,Bangalore,500,POPULARITY_INDEX_4,NORMAL_WEEKDAY,LATENIGHT,Scheduled,one_way_trip,6,1,7
android,LTE_1_HOUR,Mumbai,418,POPULARITY_INDEX_3,WEEKEND,VERYLATE,Scheduled,one_way_trip,6,5,11
android,LTE_1_HOUR,Bangalore,505,POPULARITY_INDEX_3,NORMAL_WEEKDAY,EARLY,Scheduled,one_way_trip,6,8,14
ios,LTE_1_HOUR,Bangalore,248,POPULARITY_INDEX_1,FRIDAY,LATENIGHT,Scheduled,one_way_trip,5,1,6
ios,LTE_1_HOUR,Delhi NCR,347,POPULARITY_INDEX_4,WEEKEND,VERYLATE,Scheduled,one_way_trip,5,2,7
android,LTE_1_HOUR,Bangalore,248,POPULARITY_INDEX_1,FRIDAY,LATENIGHT,Scheduled,one_way_trip,5,3,8
Phone,NOT_SPECIFIED,Bangalore,246,POPULARITY_INDEX_3,NORMAL_WEEKDAY,MORNING,Scheduled,one_way_trip,5,4,9
ios,GT_1_LTE_2_HOURS,Bangalore,221,POPULARITY_INDEX_2,NORMAL_WEEKDAY,MORNING,Scheduled,one_way_trip,5,5,10
ios,LTE_1_HOUR,Hyderabad,141,POPULARITY_INDEX_1,NORMAL_WEEKDAY,VERYLATE,Scheduled,one_way_trip,5,6,11
android,LTE_1_HOUR,Delhi NCR,264,POPULARITY_INDEX_2,WEEKEND,VERYLATE,Scheduled,one_way_trip,4,0,4
android,LTE_1_HOUR,Bangalore,505,POPULARITY_INDEX_3,WEEKEND,VERYLATE,Scheduled,one_way_trip,4,0,4
android,LTE_1_HOUR,Pune,329,POPULARITY_INDEX_5,NORMAL_WEEKDAY,EVENING,Scheduled,one_way_trip,4,0,4
android,LTE_1_HOUR,Bangalore,219,POPULARITY_INDEX_1,WEEKEND,EVENING,Scheduled,one_way_trip,4,2,6
ios,LTE_1_HOUR,Bangalore,221,POPULARITY_INDEX_2,FRIDAY,LATENIGHT,Scheduled,one_way_trip,4,3,7
ios,GT_1_LTE_2_HOURS,Mumbai,443,POPULARITY_INDEX_1,WEEKEND,VERYLATE,Scheduled,one_way_trip,4,4,8
